Region,Nuevos Casos,Casos Totales,Casos Recuperados,Dates
Arica y Parinacota,0,1,–,20-03-2020
Tarapacá,0,0,–,20-03-2020
Antofagasta,4,6,–,20-03-2020
Atacama,0,1,–,20-03-2020
Coquimbo,1,3,–,20-03-2020
Valparaíso,1,5,–,20-03-2020
Metropolitana,57,304,–,20-03-2020
O’Higgins,4,6,–,20-03-2020
Maule,0,14,–,20-03-2020
Ñuble,16,44,–,20-03-2020
Biobío,5,19,–,20-03-2020
Araucanía,2,9,–,20-03-2020
Los Ríos,0,1,–,20-03-2020
Los Lagos,2,18,–,20-03-2020
Aysén,0,1,–,20-03-2020
Magallanes,0,2,–,20-03-2020
Total,92,434,0,20-03-2020
