Region,Nuevos Casos,Casos Totales,% Casos Totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0,1,0,0,0,21-03-2020
Tarapacá,0,0,0,0,0,21-03-2020
Antofagasta,4,10,0,0,0,21-03-2020
Atacama,0,1,0,0,0,21-03-2020
Coquimbo,0,3,0,0,0,21-03-2020
Valparaíso,8,13,0,0,0,21-03-2020
Metropolitana,55,359,0,1,0,21-03-2020
O’Higgins,1,7,0,0,0,21-03-2020
Maule,1,15,0,0,0,21-03-2020
Ñuble,14,58,0,0,0,21-03-2020
Biobío,11,30,0,0,0,21-03-2020
Araucanía,6,15,0,0,0,21-03-2020
Los Ríos,0,1,0,0,0,21-03-2020
Los Lagos,2,20,0,0,0,21-03-2020
Aysén,0,1,0,0,0,21-03-2020
Magallanes,1,3,0,0,0,21-03-2020
Total,103,537,0,0,8,21-03-2020
