Region,Nuevos Casos,Casos Totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0.0,2.0,0.0,0.0,24-03-2020
Tarapacá,3.0,4.0,0.0,0.0,24-03-2020
Antofagasta,2.0,13.0,0.0,0.0,24-03-2020
Atacama,0.0,1.0,0.0,0.0,24-03-2020
Coquimbo,5.0,11.0,0.0,0.0,24-03-2020
Valparaíso,6.0,25.0,0.0,0.0,24-03-2020
Metropolitana,81.0,540.0,2.0,0.0,24-03-2020
O’Higgins,1.0,9.0,0.0,0.0,24-03-2020
Maule,1.0,29.0,0.0,0.0,24-03-2020
Ñuble,24.0,105.0,0.0,0.0,24-03-2020
Biobío,27.0,73.0,0.0,0.0,24-03-2020
Araucanía,19.0,59.0,0.0,0.0,24-03-2020
Los Ríos,2.0,6.0,0.0,0.0,24-03-2020
Los Lagos,3.0,36.0,0.0,0.0,24-03-2020
Aysén,0.0,1.0,0.0,0.0,24-03-2020
Magallanes,2.0,8.0,0.0,0.0,24-03-2020
Total,176.0,922.0,2.0,17.0,24-03-2020
