Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,7.0,252.0,"1,89 %",3.0,0.0,2020-04-26
Tarapacá,13.0,156.0,"1,17 %",1.0,0.0,2020-04-26
Antofagasta,52.0,443.0,"3,32 %",4.0,0.0,2020-04-26
Atacama,5.0,29.0,"0,22 %",0.0,0.0,2020-04-26
Coquimbo,0.0,73.0,"0,55 %",0.0,0.0,2020-04-26
Valparaíso,6.0,460.0,"3,45 %",9.0,0.0,2020-04-26
Metropolitana,331.0,7496.0,"56,23 %",91.0,0.0,2020-04-26
O’Higgins,7.0,92.0,"0,69 %",1.0,0.0,2020-04-26
Maule,4.0,354.0,"2,66 %",11.0,0.0,2020-04-26
Ñuble,6.0,731.0,"5,48 %",14.0,0.0,2020-04-26
Biobío,7.0,703.0,"5,27 %",6.0,0.0,2020-04-26
Araucanía,13.0,1216.0,"9,12 %",29.0,0.0,2020-04-26
Los Ríos,1.0,178.0,"1,34 %",3.0,0.0,2020-04-26
Los Lagos,8.0,473.0,"3,55 %",8.0,0.0,2020-04-26
Aysén,0.0,7.0,"0,05 %",0.0,0.0,2020-04-26
Magallanes,13.0,668.0,"5,01 %",9.0,0.0,2020-04-26
Total,473.0,13331.0,100%,189.0,7024.0,2020-04-26
